
#################################################################
------------------
Query Setting:
source: 0	target: 4	startTime: 0	TDSP: 21300	budget: 10082000% SP	SPValue: 2
Iter: 0	G size: 0	TotalProcessTimeSofar: 32	calculateCandArcTime: 16	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 1	G size: 0	TotalProcessTimeSofar: 64	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 2	G size: 0	TotalProcessTimeSofar: 96	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 3	G size: 0	TotalProcessTimeSofar: 128	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 4	G size: 0	TotalProcessTimeSofar: 160	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 5	G size: 0	TotalProcessTimeSofar: 192	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 6	G size: 0	TotalProcessTimeSofar: 224	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 7	G size: 0	TotalProcessTimeSofar: 256	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 8	G size: 0	TotalProcessTimeSofar: 288	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 9	G size: 0	TotalProcessTimeSofar: 320	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 10	G size: 0	TotalProcessTimeSofar: 352	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 11	G size: 0	TotalProcessTimeSofar: 384	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 12	G size: 0	TotalProcessTimeSofar: 416	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 13	G size: 0	TotalProcessTimeSofar: 448	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 14	G size: 0	TotalProcessTimeSofar: 480	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 15	G size: 0	TotalProcessTimeSofar: 512	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 16	G size: 0	TotalProcessTimeSofar: 544	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 17	G size: 0	TotalProcessTimeSofar: 576	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 18	G size: 0	TotalProcessTimeSofar: 608	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 19	G size: 0	TotalProcessTimeSofar: 640	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 20	G size: 0	TotalProcessTimeSofar: 672	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 21	G size: 0	TotalProcessTimeSofar: 704	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 22	G size: 0	TotalProcessTimeSofar: 736	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 23	G size: 0	TotalProcessTimeSofar: 768	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 24	G size: 0	TotalProcessTimeSofar: 800	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 25	G size: 0	TotalProcessTimeSofar: 832	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 26	G size: 0	TotalProcessTimeSofar: 864	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 27	G size: 0	TotalProcessTimeSofar: 896	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 28	G size: 0	TotalProcessTimeSofar: 928	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 29	G size: 0	TotalProcessTimeSofar: 960	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 30	G size: 0	TotalProcessTimeSofar: 992	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 31	G size: 0	TotalProcessTimeSofar: 1024	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 32	G size: 0	TotalProcessTimeSofar: 1056	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 33	G size: 0	TotalProcessTimeSofar: 1088	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 34	G size: 0	TotalProcessTimeSofar: 1120	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 35	G size: 0	TotalProcessTimeSofar: 1152	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 36	G size: 0	TotalProcessTimeSofar: 1184	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 37	G size: 0	TotalProcessTimeSofar: 1216	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 38	G size: 0	TotalProcessTimeSofar: 1248	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 39	G size: 0	TotalProcessTimeSofar: 1280	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 40	G size: 0	TotalProcessTimeSofar: 1312	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 41	G size: 0	TotalProcessTimeSofar: 1344	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 42	G size: 0	TotalProcessTimeSofar: 1376	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 43	G size: 0	TotalProcessTimeSofar: 1408	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 44	G size: 0	TotalProcessTimeSofar: 1440	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 45	G size: 0	TotalProcessTimeSofar: 1472	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 46	G size: 0	TotalProcessTimeSofar: 1504	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 47	G size: 0	TotalProcessTimeSofar: 1536	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 48	G size: 0	TotalProcessTimeSofar: 1568	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 49	G size: 0	TotalProcessTimeSofar: 1600	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 50	G size: 0	TotalProcessTimeSofar: 1632	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 51	G size: 0	TotalProcessTimeSofar: 1664	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 52	G size: 0	TotalProcessTimeSofar: 1696	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 53	G size: 0	TotalProcessTimeSofar: 1728	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 54	G size: 0	TotalProcessTimeSofar: 1760	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 55	G size: 0	TotalProcessTimeSofar: 1792	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 56	G size: 0	TotalProcessTimeSofar: 1824	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 57	G size: 0	TotalProcessTimeSofar: 1856	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 58	G size: 0	TotalProcessTimeSofar: 1888	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 59	G size: 0	TotalProcessTimeSofar: 1920	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 60	G size: 0	TotalProcessTimeSofar: 1952	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 61	G size: 0	TotalProcessTimeSofar: 1984	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 62	G size: 0	TotalProcessTimeSofar: 2016	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 63	G size: 0	TotalProcessTimeSofar: 2048	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 64	G size: 0	TotalProcessTimeSofar: 2080	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 65	G size: 0	TotalProcessTimeSofar: 2112	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 66	G size: 0	TotalProcessTimeSofar: 2144	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 67	G size: 0	TotalProcessTimeSofar: 2176	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 68	G size: 0	TotalProcessTimeSofar: 2208	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 69	G size: 0	TotalProcessTimeSofar: 2240	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 70	G size: 0	TotalProcessTimeSofar: 2272	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 71	G size: 0	TotalProcessTimeSofar: 2304	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 72	G size: 0	TotalProcessTimeSofar: 2336	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 73	G size: 0	TotalProcessTimeSofar: 2368	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 74	G size: 0	TotalProcessTimeSofar: 2400	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 75	G size: 0	TotalProcessTimeSofar: 2432	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 76	G size: 0	TotalProcessTimeSofar: 2464	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 77	G size: 0	TotalProcessTimeSofar: 2496	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 78	G size: 0	TotalProcessTimeSofar: 2528	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 79	G size: 0	TotalProcessTimeSofar: 2560	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 80	G size: 0	TotalProcessTimeSofar: 2592	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 81	G size: 0	TotalProcessTimeSofar: 2624	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 82	G size: 0	TotalProcessTimeSofar: 2656	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 83	G size: 0	TotalProcessTimeSofar: 2688	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 84	G size: 0	TotalProcessTimeSofar: 2720	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 85	G size: 0	TotalProcessTimeSofar: 2752	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 86	G size: 0	TotalProcessTimeSofar: 2784	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 87	G size: 0	TotalProcessTimeSofar: 2816	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 88	G size: 0	TotalProcessTimeSofar: 2848	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 89	G size: 0	TotalProcessTimeSofar: 2880	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 90	G size: 0	TotalProcessTimeSofar: 2912	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 91	G size: 0	TotalProcessTimeSofar: 2944	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 92	G size: 0	TotalProcessTimeSofar: 2976	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 93	G size: 0	TotalProcessTimeSofar: 3008	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 94	G size: 0	TotalProcessTimeSofar: 3040	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 95	G size: 0	TotalProcessTimeSofar: 3072	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 96	G size: 0	TotalProcessTimeSofar: 3104	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 97	G size: 0	TotalProcessTimeSofar: 3136	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 98	G size: 0	TotalProcessTimeSofar: 3168	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 99	G size: 0	TotalProcessTimeSofar: 3200	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 100	G size: 0	TotalProcessTimeSofar: 3232	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 101	G size: 0	TotalProcessTimeSofar: 3264	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 102	G size: 0	TotalProcessTimeSofar: 3296	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 103	G size: 0	TotalProcessTimeSofar: 3328	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 104	G size: 0	TotalProcessTimeSofar: 3360	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 105	G size: 0	TotalProcessTimeSofar: 3392	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 106	G size: 0	TotalProcessTimeSofar: 3424	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 107	G size: 0	TotalProcessTimeSofar: 3456	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 108	G size: 0	TotalProcessTimeSofar: 3488	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 109	G size: 0	TotalProcessTimeSofar: 3520	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
